Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
TMEM119		ENSG00000183160	Transmembrane protein 119	12	108589846-108598320	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA051870, HPA052650	Enhanced				Renal cancer:2.06e-6 (unfavourable), Ovarian cancer:8.37e-4 (unfavourable)	Expressed in all	Tissue enhanced		cervix, uterine: 93.0	gallbladder: 55.2	Cell line enhanced		ASC diff: 378.8;ASC TERT1: 106.4;BJ hTERT+: 134.8;HSkMC: 171.1
TMEM155	FLJ30834	ENSG00000164112	Transmembrane protein 155	4	121758933-121765427	Predicted secreted proteins	Evidence at transcript level	HPA077585	Approved					Mixed	Group enriched	6	cerebral cortex: 27.6;placenta: 5.7	lymph node: 3.0	Cell line enhanced		fHDF/TERT166: 4.0;HAP1: 2.2;LHCN-M2: 5.5;MOLT-4: 5.1
TMEM205	MBC3205, UNQ501	ENSG00000105518	Transmembrane protein 205	19	11342776-11346518	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA041504	Approved		Approved	Nucleoplasm<br>Nuclear membrane<br>Endoplasmic reticulum		Expressed in all	Expressed in all			parathyroid gland: 258.0	Expressed in all		
TMEM213		ENSG00000214128	Transmembrane protein 213	7	138797952-138838101	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA054059	Enhanced				Renal cancer:5.54e-7 (favourable)	Tissue enriched	Group enriched	9	kidney: 80.7;salivary gland: 22.6	breast: 5.7	Not detected		
TMEM25	FLJ14399	ENSG00000149582	Transmembrane protein 25	11	118531041-118547280	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA012163, HPA051562	Approved		Approved	Golgi apparatus<br>Vesicles	Renal cancer:0.00e+0 (favourable)	Expressed in all	Expressed in all			duodenum: 47.0	Cell line enhanced		T-47d: 41.7
TMEM52		ENSG00000178821	Transmembrane protein 52	1	1917590-1919273	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level							Mixed	Tissue enhanced		pancreas: 38.8;skeletal muscle: 105.7	adrenal gland: 24.4	Cell line enhanced		Hep G2: 13.9;RPMI-8226: 25.7
TMEM52B	C12orf59, FLJ31166	ENSG00000165685	Transmembrane protein 52B	12	10170542-10191801	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA058096	Enhanced		Approved	Focal adhesion sites		Tissue enriched	Tissue enriched	21	kidney: 183.5	placenta: 8.6	Cell line enriched	8	CACO-2: 79.4
TMEM59	C1orf8, HSPC001	ENSG00000116209	Transmembrane protein 59	1	54026681-54053504	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level							Expressed in all	Expressed in all			fallopian tube: 650.0	Expressed in all		
TMEM67	JBTS6, MGC26979, MKS3, NPHP11	ENSG00000164953	Transmembrane protein 67	8	93754844-93819234	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level						Renal cancer:7.62e-4 (unfavourable)	Mixed	Tissue enhanced		fallopian tube: 21.5	testis: 12.5	Mixed		
TMEM87A	DKFZP564G2022	ENSG00000103978	Transmembrane protein 87A	15	42210452-42273663	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA018104, HPA018189	Enhanced		Supported	Golgi apparatus		Expressed in all	Expressed in all			prostate: 124.3	Expressed in all		
TMEM94	KIAA0195	ENSG00000177728	Transmembrane protein 94	17	75441159-75500090	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA008423, HPA050660	Approved		Supported	Nucleoplasm<br>Nuclear bodies	Pancreatic cancer:2.26e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 54.2	Expressed in all		
TMEM95	MGC129793, UNQ9390	ENSG00000182896	Transmembrane protein 95	17	7355123-7357219	Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level							Not detected	Tissue enriched	48	testis: 9.9	gallbladder: 0.2	Not detected		
TMIGD1	TMIGD, UNQ9372	ENSG00000182271	Transmembrane and immunoglobulin domain containing 1	17	30316333-30334059	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA021946			Approved	Mitochondria		Tissue enhanced	Group enriched	23	colon: 81.8;rectum: 109.8;small intestine: 162.9	kidney: 5.1	Not detected		
TMPRSS12	CT151, MGC57341	ENSG00000186452	Transmembrane protease, serine 12	12	50842920-50887884	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level							Not detected	Tissue enriched	75	testis: 39.5	epididymis: 0.5	Not detected		
TMUB1	C7orf21, SB144	ENSG00000164897	Transmembrane and ubiquitin like domain containing 1	7	151081080-151083546	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA029429	Approved		Supported	Nucleoplasm<br>Cytosol		Expressed in all	Expressed in all			small intestine: 52.2	Expressed in all		
TMX3	FLJ20793, KIAA1830, PDIA13, TXNDC10	ENSG00000166479	Thioredoxin related transmembrane protein 3	18	68673688-68715298	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA014157	Uncertain				Renal cancer:2.87e-4 (unfavourable)	Expressed in all	Expressed in all			lymph node: 31.4	Expressed in all		
TNC	DFNA56, HXB, MGC167029, TN	ENSG00000041982	Tenascin C	9	115019578-115118257	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB004592, HPA004823	Approved					Expressed in all	Tissue enhanced		appendix: 239.3;smooth muscle: 528.9	adipose tissue: 78.7	Cell line enhanced		BJ hTERT+: 628.6;hTEC/SVTERT24-B: 625.8;U-87 MG: 679.1;WM-115: 1198.9
TNFAIP6	TSG-6, TSG6	ENSG00000123610	TNF alpha induced protein 6	2	151357592-151380048	Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB032719, HPA050884	Approved				Cervical cancer:8.18e-5 (unfavourable), Urothelial cancer:9.16e-5 (unfavourable), Renal cancer:5.59e-4 (unfavourable)	Tissue enhanced	Tissue enhanced		appendix: 38.7;gallbladder: 31.8	adipose tissue: 18.7	Cell line enhanced		BJ hTERT+: 54.6;HHSteC: 33.8;hTEC/SVTERT24-B: 54.8;U-2197: 41.1
TNFRSF11A	CD265, FEO, LOH18CR1, PDB2, RANK	ENSG00000141655	TNF receptor superfamily member 11a	18	62325287-62391292	CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB010391, HPA027728, HPA047976	Uncertain		Supported	Plasma membrane<br>Cytosol		Mixed	Tissue enhanced		duodenum: 30.6	small intestine: 20.5	Cell line enhanced		HDLM-2: 116.8;PC-3: 18.0;SCLC-21H: 24.0
TNFRSF11B	OCIF, OPG, TR1	ENSG00000164761	TNF receptor superfamily member 11b	8	118923557-118952200	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB034939	Approved				Urothelial cancer:3.88e-4 (unfavourable), Cervical cancer:6.22e-4 (unfavourable), Renal cancer:6.79e-4 (favourable)	Expressed in all	Tissue enriched	5	thyroid gland: 140.4	kidney: 25.7	Cell line enhanced		BJ: 369.9;BJ hTERT+: 1312.6;fHDF/TERT166: 188.6
TNFRSF12A	CD266, FN14, TweakR	ENSG00000006327	TNF receptor superfamily member 12A	16	3018445-3022383	Cancer-related genes, CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007853	Approved		Approved	Plasma membrane<br>Cytosol	Head and neck cancer:5.50e-4 (unfavourable), Renal cancer:8.78e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 199.0	Mixed		
TNFRSF14	ATAR, CD270, HVEA, HVEM, LIGHTR, TR2	ENSG00000157873	TNF receptor superfamily member 14	1	2555639-2565382	Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA006404, CAB026150, CAB030007	Approved		Approved	Cytosol<br>Rods & Rings	Urothelial cancer:7.79e-6 (favourable), Endometrial cancer:8.01e-6 (favourable), Breast cancer:4.39e-5 (favourable)	Expressed in all	Expressed in all			duodenum: 45.5	Cell line enhanced		CAPAN-2: 23.4;HDLM-2: 25.7;HHSteC: 25.4;SK-MEL-30: 41.0
TNFRSF18	AITR, CD357, GITR	ENSG00000186891	TNF receptor superfamily member 18	1	1203508-1206691	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA008025	Approved				Renal cancer:4.40e-11 (unfavourable), Endometrial cancer:7.72e-6 (favourable), Head and neck cancer:4.12e-4 (favourable)	Expressed in all	Tissue enhanced		skin: 43.3	parathyroid gland: 18.0	Group enriched	11	RPMI-8226: 148.8;SCLC-21H: 173.4
TNFRSF1A	CD120a, TNF-R, TNF-R-I, TNF-R55, TNFAR, TNFR1, TNFR60	ENSG00000067182	TNF receptor superfamily member 1A	12	6328757-6342114	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA004102, CAB010309	Approved				Renal cancer:2.70e-7 (unfavourable), Head and neck cancer:3.68e-4 (unfavourable), Endometrial cancer:8.22e-4 (favourable)	Expressed in all	Expressed in all			smooth muscle: 141.2	Mixed		
TNFRSF1B	CD120b, p75, TNF-R-II, TNF-R75, TNFBR, TNFR2, TNFR80	ENSG00000028137	TNF receptor superfamily member 1B	1	12167003-12209228	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA004796	Approved				Renal cancer:8.35e-5 (unfavourable), Testis cancer:8.68e-4 (unfavourable)	Expressed in all	Tissue enhanced		appendix: 100.4	spleen: 77.8	Cell line enhanced		CAPAN-2: 31.7;K-562: 41.3;THP-1: 35.7;U-87 MG: 34.0
TNFRSF25	APO-3, DDR3, DR3, LARD, TNFRSF12, TR3, TRAMP, WSL-1, WSL-LR	ENSG00000215788	TNF receptor superfamily member 25	1	6461151-6466195	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA069834			Approved	Nucleus<br>Plasma membrane<br>Actin filaments<br>Focal adhesion sites	Renal cancer:1.65e-7 (unfavourable), Head and neck cancer:3.09e-4 (favourable), Colorectal cancer:4.46e-4 (unfavourable)	Expressed in all	Tissue enhanced		skin: 29.6	spleen: 12.1	Cell line enhanced		HDLM-2: 24.6;RPMI-8226: 17.9
TNFRSF6B	DcR3, M68, TR6	ENSG00000243509	TNF receptor superfamily member 6b	20	63696668-63698684	Predicted secreted proteins	Evidence at protein level	HPA047154	Uncertain					Not detected	Tissue enriched	6	appendix: 19.0	tonsil: 3.1	Cell line enhanced		HBEC3-KT: 20.3;RPTEC TERT1: 82.5;TIME: 57.1
TNFSF15	MGC129934, MGC129935, TL1, TL1A, VEGI, VEGI192A	ENSG00000181634	Tumor necrosis factor superfamily member 15	9	114784635-114806126	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA012948, HPA046522	Approved		Approved	Nucleus<br>Nuclear membrane<br>Cytosol		Mixed	Mixed			duodenum: 9.5	Cell line enhanced		HaCaT: 11.6;hTEC/SVTERT24-B: 8.5;HUVEC TERT2: 13.6;RT4: 12.9;TIME: 6.2
TNN		ENSG00000120332	Tenascin N	1	175067858-175148066	Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB010907, HPA026726, HPA026764	Uncertain					Tissue enhanced	Tissue enhanced		adipose tissue: 12.4	breast: 4.1	Group enriched	11	AF22: 5.6;NB-4: 2.3;THP-1: 7.4;U-266/70: 2.1;U-937: 1.6
TNR		ENSG00000116147	Tenascin R	1	175315194-175743770	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB022343, HPA027134, HPA027150, HPA029859	Enhanced					Tissue enriched	Tissue enriched	38	cerebral cortex: 70.6	adrenal gland: 1.8	Cell line enhanced		SH-SY5Y: 1.9;U-937: 1.1
TNXB	TNXB1, TNXB2, TNXBS, XB, XBS	ENSG00000168477	Tenascin XB	6	32041154-32115334	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level							Mixed	Tissue enhanced		adrenal gland: 91.6	endometrium: 18.6	Cell line enhanced		ASC diff: 8.6;ASC TERT1: 14.3;U-2197: 15.6;U-87 MG: 8.2
TOMM7	Tom7	ENSG00000196683	Translocase of outer mitochondrial membrane 7	7	22812628-22822852	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level						Head and neck cancer:6.30e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 677.6	Expressed in all		
TOR1A	DQ2, DYT1	ENSG00000136827	Torsin family 1 member A	9	129812944-129824134	Disease related genes, Predicted secreted proteins	Evidence at protein level	CAB012473, HPA051195	Approved		Supported	Nuclear membrane<br>Vesicles	Lung cancer:5.45e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 39.9	Expressed in all		
TOR1B	DQ1, MGC4386	ENSG00000136816	Torsin family 1 member B	9	129803153-129811281	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA013403, HPA013697, CAB022709	Approved		Approved	Nuclear speckles<br>Cytosol		Expressed in all	Expressed in all			rectum: 24.4	Expressed in all		
TOR2A	FLJ14771, TORP1	ENSG00000160404	Torsin family 2 member A	9	127731524-127735317	Predicted secreted proteins	Evidence at protein level	HPA071229	Approved				Stomach cancer:7.51e-4 (favourable)	Expressed in all	Mixed			bone marrow: 16.5	Expressed in all		
TOR3A	ADIR, ADIR2, FLJ22345	ENSG00000186283	Torsin family 3 member A	1	179081377-179098023	Predicted secreted proteins	Evidence at protein level	HPA028766	Approved				Renal cancer:4.78e-8 (unfavourable)	Expressed in all	Expressed in all			lymph node: 39.6	Expressed in all		
TPO	TPX	ENSG00000115705	Thyroid peroxidase	2	1374223-1543711	Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007987, CAB009587	Enhanced					Tissue enriched	Tissue enriched	103	thyroid gland: 1817.4	spleen: 17.6	Cell line enhanced		Karpas-707: 6.9;RPMI-8226: 2.9
TPP1	CLN2, SCAR7	ENSG00000166340	Tripeptidyl peptidase 1	11	6612763-6619461	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA037709, HPA044868	Enhanced				Liver cancer:1.11e-4 (unfavourable), Head and neck cancer:4.31e-4 (unfavourable), Stomach cancer:4.46e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 206.9	Expressed in all		
TPSAB1	TPS1, TPS2, TPSB1	ENSG00000172236	Tryptase alpha/beta 1	16	1240696-1242554	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB016369, CAB022175, HPA049153, HPA049554	Supported				Head and neck cancer:9.62e-6 (favourable)	Mixed	Tissue enhanced		gallbladder: 211.6	lung: 158.5	Cell line enriched	163	HMC-1: 3406.5
TPSB2		ENSG00000197253	Tryptase beta 2 (gene/pseudogene)	16	1227272-1230184	Enzymes, Predicted secreted proteins	Evidence at protein level	HPA049153, HPA049554	Supported					Mixed	Tissue enhanced		gallbladder: 156.9	lung: 117.5	Cell line enriched	7	HMC-1: 262.0
TPSD1		ENSG00000095917	Tryptase delta 1	16	1256059-1258998	Enzymes, Predicted secreted proteins	Evidence at protein level	CAB002215, CAB032871, HPA040182, HPA049554	Supported		Uncertain	Nuclear speckles		Mixed	Tissue enhanced		lung: 26.9	gallbladder: 20.3	Group enriched	46	HEL: 25.4;HMC-1: 36.4
TPST2	TANGO13B	ENSG00000128294	Tyrosylprotein sulfotransferase 2	22	26521983-26596717	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA021054	Approved				Renal cancer:2.34e-6 (unfavourable), Endometrial cancer:8.08e-5 (favourable)	Expressed in all	Expressed in all			epididymis: 135.8	Expressed in all		
TRABD2A	C2orf89, TIKI1	ENSG00000186854	TraB domain containing 2A	2	84821650-84907008	Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	HPA045817	Approved					Group enriched	Tissue enhanced		colon: 35.4;ovary: 30.7;rectum: 43.1	lymph node: 11.7	Cell line enhanced		BEWO: 38.1;HDLM-2: 29.0;hTEC/SVTERT24-B: 17.5;SiHa: 18.3
TRABD2B	TIKI2	ENSG00000269113	TraB domain containing 2B	1	47760528-47996895	Predicted secreted proteins	Evidence at protein level	HPA045817	Approved					Tissue enriched	Tissue enhanced		kidney: 7.7	seminal vesicle: 4.8	Group enriched	5	HeLa: 4.4;U-2197: 12.9
TREH	MGC129621, TRE, TREA	ENSG00000118094	Trehalase	11	118657316-118679690	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	HPA039913, HPA042045	Enhanced				Renal cancer:2.33e-6 (favourable), Liver cancer:3.76e-4 (favourable)	Mixed	Tissue enhanced		duodenum: 60.6;small intestine: 72.6	kidney: 13.5	Cell line enhanced		BEWO: 1.5
TREM1	CD354, TREM-1	ENSG00000124731	Triggering receptor expressed on myeloid cells 1	6	41267926-41286719	CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA005563	Uncertain					Tissue enhanced	Tissue enhanced		appendix: 67.7;bone marrow: 63.0;lung: 103.1	adipose tissue: 26.9	Cell line enriched	11	U-87 MG: 24.5
TREM2	TREM-2, Trem2a, Trem2b, Trem2c	ENSG00000095970	Triggering receptor expressed on myeloid cells 2	6	41158506-41163186	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA010917, HPA012571	Approved				Liver cancer:4.24e-4 (unfavourable)	Expressed in all	Tissue enhanced		cerebral cortex: 37.0;lung: 40.5	adrenal gland: 16.1	Cell line enhanced		HBEC3-KT: 9.0;hTCEpi: 49.6;THP-1: 26.6
TRH		ENSG00000170893	Thyrotropin releasing hormone	3	129974305-129977938	Predicted secreted proteins	Evidence at protein level	HPA035596	Enhanced					Tissue enhanced	Group enriched	9	cervix, uterine: 32.1;endometrium: 27.4	fallopian tube: 3.4	Not detected		
TRIO	ARHGEF23	ENSG00000038382	Trio Rho guanine nucleotide exchange factor	5	14143702-14532128	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA008157, HPA064664	Supported		Approved	Vesicles<br>Cytosol	Renal cancer:3.11e-5 (unfavourable), Endometrial cancer:1.90e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 47.2	Cell line enhanced		hTEC/SVTERT24-B: 190.1;U-87 MG: 248.3
TSHB		ENSG00000134200	Thyroid stimulating hormone beta	1	115029824-115034309	Predicted secreted proteins	Evidence at protein level	CAB022202, HPA042681	Supported					Not detected	Not detected			gallbladder: 0.5	Not detected		
