"Gene","Plate number","Well number","Clone ID","ORF_length","Trans_mem_ref_acc","Other_acc","Definition","Accession","Protein","LocusLink ID","Unigene ID","Gene synonym","Ensembl","Gene description","Chromosome","Position","Protein class","Evidence","Antibody","Reliability (IH)","Reliability (Mouse Brain)","Reliability (IF)","Subcellular location","Prognostic p-value","RNA cancer category","RNA tissue category","RNA TS","RNA TS TPM","TPM max in non-specific","RNA cell line category","RNA CS","RNA CS TPM"
"TMEM59",25,"A8","IOH4523",903,"0","AAH03106.1","transmembrane protein 59, mRNA (cDNA clone MGC:1961 IMAGE:3501639), complete cds","BC003106.1","AAH03106.1",9528,"Hs.523262","C1orf8, HSPC001","ENSG00000116209","Transmembrane protein 59","1","54026681-54053504","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Expressed in all","Expressed in all",NA,NA,"fallopian tube: 650.0","Expressed in all",NA,NA
"TMEM59",50,"C6","IOH23073",975,"0","AAH16374.1","transmembrane protein 59, mRNA (cDNA clone MGC:27259 IMAGE:4618034), complete cds","BC016374.1","AAH16374.1",9528,"Hs.523262","C1orf8, HSPC001","ENSG00000116209","Transmembrane protein 59","1","54026681-54053504","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Expressed in all","Expressed in all",NA,NA,"fallopian tube: 650.0","Expressed in all",NA,NA
"TMEM59",153,"H6","IOH62759",972,"0","AAH95464.1","transmembrane protein 59, mRNA (cDNA clone MGC:111362 IMAGE:30554552), complete cds","BC095464.1","AAH95464.1",9528,"Hs.523262","C1orf8, HSPC001","ENSG00000116209","Transmembrane protein 59","1","54026681-54053504","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Expressed in all","Expressed in all",NA,NA,"fallopian tube: 650.0","Expressed in all",NA,NA
"TMEM59",16,"E2","IOH14687",972,"NP_004863.2","NP_004863.2","transmembrane protein 59 (TMEM59), mRNA.","NM_004872.3","NP_004863.2",9528,"Hs.523262","C1orf8, HSPC001","ENSG00000116209","Transmembrane protein 59","1","54026681-54053504","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Expressed in all","Expressed in all",NA,NA,"fallopian tube: 650.0","Expressed in all",NA,NA
"TMEM87A",145,"F1","IOH62988",1485,"NP_056312.1","AAH69240.1","transmembrane protein 87A, mRNA (cDNA clone MGC:78494 IMAGE:4650822), complete cds","BC069240.1","AAH69240.1",25963,"Hs.511138","DKFZP564G2022","ENSG00000103978","Transmembrane protein 87A","15","42210452-42273663","Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA018104, HPA018189","Enhanced",NA,"Supported","Golgi apparatus",NA,"Expressed in all","Expressed in all",NA,NA,"prostate: 124.3","Expressed in all",NA,NA
"TMIGD1",143,"C9","IOH59406",789,"0","NP_996663.1","transmembrane and immunoglobulin domain containing 1 (TMIGD1), mRNA.","NM_206832.1","NP_996663.1",388364,"Hs.371005","TMIGD, UNQ9372","ENSG00000182271","Transmembrane and immunoglobulin domain containing 1","17","30316333-30334059","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA021946",NA,NA,"Approved","Mitochondria",NA,"Tissue enhanced","Group enriched",23,"colon: 81.8;rectum: 109.8;small intestine: 162.9","kidney: 5.1","Not detected",NA,NA
"TMPRSS12",58,"A5","IOH26752",1047,"0","NP_872365.1","transmembrane protease, serine 12 (TMPRSS12), mRNA.","NM_182559.2","NP_872365.1",283471,"Hs.125571","CT151, MGC57341","ENSG00000186452","Transmembrane protease, serine 12","12","50842920-50887884","Enzymes, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Not detected","Tissue enriched",75,"testis: 39.5","epididymis: 0.5","Not detected",NA,NA
"TMUB1",90,"A12","IOH3021",741,"NP_113622.1","NP_113622.1","transmembrane and ubiquitin-like domain containing 1 (TMUB1), transcript variant 1, mRNA.","NM_031434.3","NP_113622.1",83590,"Hs.647096","C7orf21, SB144","ENSG00000164897","Transmembrane and ubiquitin like domain containing 1","7","151081080-151083546","Predicted membrane proteins, Predicted secreted proteins, Transporters","Evidence at protein level","HPA029429","Approved",NA,"Supported","Nucleoplasm<br>Cytosol",NA,"Expressed in all","Expressed in all",NA,NA,"small intestine: 52.2","Expressed in all",NA,NA
"TMX3",130,"D8","IOH51926",1365,"0","NP_061895.3","thioredoxin-related transmembrane protein 3 (TMX3), mRNA.","NM_019022.3","NP_061895.3",54495,"Hs.440534","FLJ20793, KIAA1830, PDIA13, TXNDC10","ENSG00000166479","Thioredoxin related transmembrane protein 3","18","68673688-68715298","Enzymes, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA014157","Uncertain",NA,NA,NA,"Renal cancer:2.87e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"lymph node: 31.4","Expressed in all",NA,NA
"TMX3",52,"E7","IOH21628",588,"0","AAH32325.1","thioredoxin-related transmembrane protein 3, mRNA (cDNA clone IMAGE:3920251), complete cds.","BC032325.2","AAH32325.1",54495,"Hs.440534","FLJ20793, KIAA1830, PDIA13, TXNDC10","ENSG00000166479","Thioredoxin related transmembrane protein 3","18","68673688-68715298","Enzymes, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA014157","Uncertain",NA,NA,NA,"Renal cancer:2.87e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"lymph node: 31.4","Expressed in all",NA,NA
"TNFAIP6",79,"C10","IOH22602",834,"0",NA,"tumor necrosis factor, alpha-induced protein 6 (TNFAIP6), mRNA.","NM_007115.2","NP_009046.2",7130,"Hs.437322","TSG-6, TSG6","ENSG00000123610","TNF alpha induced protein 6","2","151357592-151380048","Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB032719, HPA050884","Approved",NA,NA,NA,"Cervical cancer:8.18e-5 (unfavourable), Urothelial cancer:9.16e-5 (unfavourable), Renal cancer:5.59e-4 (unfavourable)","Tissue enhanced","Tissue enhanced",NA,"appendix: 38.7;gallbladder: 31.8","adipose tissue: 18.7","Cell line enhanced",NA,"BJ hTERT+: 54.6;HHSteC: 33.8;hTEC/SVTERT24-B: 54.8;U-2197: 41.1"
"TNFRSF11B",42,"G5","IOH23095",1206,"0",NA,"tumor necrosis factor receptor superfamily, member 11b (TNFRSF11B), mRNA.","NM_002546.3","NP_002537.3",4982,"Hs.81791","OCIF, OPG, TR1","ENSG00000164761","TNF receptor superfamily member 11b","8","118923557-118952200","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB034939","Approved",NA,NA,NA,"Urothelial cancer:3.88e-4 (unfavourable), Cervical cancer:6.22e-4 (unfavourable), Renal cancer:6.79e-4 (favourable)","Expressed in all","Tissue enriched",5,"thyroid gland: 140.4","kidney: 25.7","Cell line enhanced",NA,"BJ: 369.9;BJ hTERT+: 1312.6;fHDF/TERT166: 188.6"
"TNFRSF14",41,"F12","IOH5309",852,"0",NA,"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator), mRNA (cDNA clone MGC:3753 IMAGE:3614650), complete cds","BC002794.2","AAH02794.1",8764,"Hs.512898","ATAR, CD270, HVEA, HVEM, LIGHTR, TR2","ENSG00000157873","TNF receptor superfamily member 14","1","2555639-2565382","Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA006404, CAB026150, CAB030007","Approved",NA,"Approved","Cytosol<br>Rods & Rings","Urothelial cancer:7.79e-6 (favourable), Endometrial cancer:8.01e-6 (favourable), Breast cancer:4.39e-5 (favourable)","Expressed in all","Expressed in all",NA,NA,"duodenum: 45.5","Cell line enhanced",NA,"CAPAN-2: 23.4;HDLM-2: 25.7;HHSteC: 25.4;SK-MEL-30: 41.0"
"TNFRSF14",37,"E7","IOH22821",600,"NP_003811.2","AAH29848.1","tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator), mRNA (cDNA clone MGC:35320 IMAGE:5178561), complete cds","BC029848.1","AAH29848.1",8764,"Hs.512898","ATAR, CD270, HVEA, HVEM, LIGHTR, TR2","ENSG00000157873","TNF receptor superfamily member 14","1","2555639-2565382","Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA006404, CAB026150, CAB030007","Approved",NA,"Approved","Cytosol<br>Rods & Rings","Urothelial cancer:7.79e-6 (favourable), Endometrial cancer:8.01e-6 (favourable), Breast cancer:4.39e-5 (favourable)","Expressed in all","Expressed in all",NA,NA,"duodenum: 45.5","Cell line enhanced",NA,"CAPAN-2: 23.4;HDLM-2: 25.7;HHSteC: 25.4;SK-MEL-30: 41.0"
"TNFRSF14",141,"H6","IOH59060",852,"0",NA,"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator) (TNFRSF14), mRNA.","NM_003820.2","NP_003811.2",8764,"Hs.512898","ATAR, CD270, HVEA, HVEM, LIGHTR, TR2","ENSG00000157873","TNF receptor superfamily member 14","1","2555639-2565382","Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA006404, CAB026150, CAB030007","Approved",NA,"Approved","Cytosol<br>Rods & Rings","Urothelial cancer:7.79e-6 (favourable), Endometrial cancer:8.01e-6 (favourable), Breast cancer:4.39e-5 (favourable)","Expressed in all","Expressed in all",NA,NA,"duodenum: 45.5","Cell line enhanced",NA,"CAPAN-2: 23.4;HDLM-2: 25.7;HHSteC: 25.4;SK-MEL-30: 41.0"
"TNFRSF18",107,"F4","IOH42255",726,"NP_004186.1","NP_004186.1","tumor necrosis factor receptor superfamily, member 18 (TNFRSF18), transcript variant 1, mRNA.","NM_004195.2","NP_004186.1",8784,"Hs.212680","AITR, CD357, GITR","ENSG00000186891","TNF receptor superfamily member 18","1","1203508-1206691","CD markers, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA008025","Approved",NA,NA,NA,"Renal cancer:4.40e-11 (unfavourable), Endometrial cancer:7.72e-6 (favourable), Head and neck cancer:4.12e-4 (favourable)","Expressed in all","Tissue enhanced",NA,"skin: 43.3","parathyroid gland: 18.0","Group enriched",11,"RPMI-8226: 148.8;SCLC-21H: 173.4"
"TNFRSF1B",63,"C9","IOH28913",1386,"NP_001057.1","NP_001057.1","tumor necrosis factor receptor superfamily, member 1B (TNFRSF1B), mRNA.","NM_001066.2","NP_001057.1",7133,"Hs.256278","CD120b, p75, TNF-R-II, TNF-R75, TNFBR, TNFR2, TNFR80","ENSG00000028137","TNF receptor superfamily member 1B","1","12167003-12209228","Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA004796","Approved",NA,NA,NA,"Renal cancer:8.35e-5 (unfavourable), Testis cancer:8.68e-4 (unfavourable)","Expressed in all","Tissue enhanced",NA,"appendix: 100.4","spleen: 77.8","Cell line enhanced",NA,"CAPAN-2: 31.7;K-562: 41.3;THP-1: 35.7;U-87 MG: 34.0"
"TNFSF15",103,"E8","IOH35359",756,"0",NA,"tumor necrosis factor (ligand) superfamily, member 15 (TNFSF15), mRNA.","NM_005118.2","NP_005109.2",9966,"Hs.241382","MGC129934, MGC129935, TL1, TL1A, VEGI, VEGI192A","ENSG00000181634","Tumor necrosis factor superfamily member 15","9","114784635-114806126","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA012948, HPA046522","Approved",NA,"Approved","Nucleus<br>Nuclear membrane<br>Cytosol",NA,"Mixed","Mixed",NA,NA,"duodenum: 9.5","Cell line enhanced",NA,"HaCaT: 11.6;hTEC/SVTERT24-B: 8.5;HUVEC TERT2: 13.6;RT4: 12.9;TIME: 6.2"
"TNXB",60,"F1","IOH21832",2022,"0",NA,"tenascin XB, mRNA (cDNA clone IMAGE:5179997), complete cds.","BC033740.1","AAH33740.1",7148,"Hs.42853","TNXB1, TNXB2, TNXBS, XB, XBS","ENSG00000168477","Tenascin XB","6","32041154-32115334","Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Mixed","Tissue enhanced",NA,"adrenal gland: 91.6","endometrium: 18.6","Cell line enhanced",NA,"ASC diff: 8.6;ASC TERT1: 14.3;U-2197: 15.6;U-87 MG: 8.2"
"TOMM7",28,"B2","IOH4458",168,"0",NA,"translocase of outer mitochondrial membrane 7 homolog (yeast) (TOMM7), nuclear gene encoding mitochondrial protein, mRNA.","NM_019059.2","NP_061932.1",54543,"Hs.112318","Tom7","ENSG00000196683","Translocase of outer mitochondrial membrane 7","7","22812628-22822852","Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,"Head and neck cancer:6.30e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"ovary: 677.6","Expressed in all",NA,NA
"TOR1A",132,"C5","IOH39449",999,"0",NA,"torsin family 1, member A (torsin A) (TOR1A), mRNA.","NM_000113.2","NP_000104.1",1861,"Hs.534312","DQ2, DYT1","ENSG00000136827","Torsin family 1 member A","9","129812944-129824134","Disease related genes, Predicted secreted proteins","Evidence at protein level","CAB012473, HPA051195","Approved",NA,"Supported","Nuclear membrane<br>Vesicles","Lung cancer:5.45e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"thyroid gland: 39.9","Expressed in all",NA,NA
"TOR1A",19,"D2","IOH13585",594,"0",NA,"torsin family 1, member A (torsin A), mRNA (cDNA clone MGC:23205 IMAGE:4869856), complete cds","BC014484.1","AAH14484.1",1861,"Hs.534312","DQ2, DYT1","ENSG00000136827","Torsin family 1 member A","9","129812944-129824134","Disease related genes, Predicted secreted proteins","Evidence at protein level","CAB012473, HPA051195","Approved",NA,"Supported","Nuclear membrane<br>Vesicles","Lung cancer:5.45e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"thyroid gland: 39.9","Expressed in all",NA,NA
"TOR3A",28,"D7","IOH6845",1194,"0",NA,"torsin family 3, member A, mRNA (cDNA clone MGC:19663 IMAGE:3343691), complete cds","BC011746.1","AAH11746.1",64222,"Hs.584957","ADIR, ADIR2, FLJ22345","ENSG00000186283","Torsin family 3 member A","1","179081377-179098023","Predicted secreted proteins","Evidence at protein level","HPA028766","Approved",NA,NA,NA,"Renal cancer:4.78e-8 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"lymph node: 39.6","Expressed in all",NA,NA
"TOR3A",83,"E12","IOH10299",1194,"0",NA,"torsin family 3, member A, mRNA (cDNA clone MGC:17514 IMAGE:3457259), complete cds","BC018292.1","AAH18292.1",64222,"Hs.584957","ADIR, ADIR2, FLJ22345","ENSG00000186283","Torsin family 3 member A","1","179081377-179098023","Predicted secreted proteins","Evidence at protein level","HPA028766","Approved",NA,NA,NA,"Renal cancer:4.78e-8 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"lymph node: 39.6","Expressed in all",NA,NA
"TPO",93,"D4","IOH40711",525,"0",NA,"thyroid peroxidase, mRNA (cDNA clone IMAGE:30325379), complete cds.","BC063107.1","AAH63107.1",7173,"Hs.467554","TPX","ENSG00000115705","Thyroid peroxidase","2","1374223-1543711","Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA007987, CAB009587","Enhanced",NA,NA,NA,NA,"Tissue enriched","Tissue enriched",103,"thyroid gland: 1817.4","spleen: 17.6","Cell line enhanced",NA,"Karpas-707: 6.9;RPMI-8226: 2.9"
"TPO",145,"F10","IOH63169",2802,"0",NA,"thyroid peroxidase, mRNA (cDNA clone MGC:111197 IMAGE:30329791), complete cds","BC095448.1","AAH95448.1",7173,"Hs.467554","TPX","ENSG00000115705","Thyroid peroxidase","2","1374223-1543711","Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA007987, CAB009587","Enhanced",NA,NA,NA,NA,"Tissue enriched","Tissue enriched",103,"thyroid gland: 1817.4","spleen: 17.6","Cell line enhanced",NA,"Karpas-707: 6.9;RPMI-8226: 2.9"
"TPP1",90,"C7","IOH11352",1692,"0",NA,"tripeptidyl peptidase I, mRNA (cDNA clone MGC:21297 IMAGE:4385872), complete cds","BC014863.1","AAH14863.1",1200,"Hs.523454","CLN2, SCAR7","ENSG00000166340","Tripeptidyl peptidase 1","11","6612763-6619461","Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA037709, HPA044868","Enhanced",NA,NA,NA,"Liver cancer:1.11e-4 (unfavourable), Head and neck cancer:4.31e-4 (unfavourable), Stomach cancer:4.46e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"spleen: 206.9","Expressed in all",NA,NA
"TPP1",144,"H10","IOH54067",1692,"0",NA,"tripeptidyl peptidase I (TPP1), mRNA.","NM_000391.3","NP_000382.3",1200,"Hs.523454","CLN2, SCAR7","ENSG00000166340","Tripeptidyl peptidase 1","11","6612763-6619461","Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA037709, HPA044868","Enhanced",NA,NA,NA,"Liver cancer:1.11e-4 (unfavourable), Head and neck cancer:4.31e-4 (unfavourable), Stomach cancer:4.46e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"spleen: 206.9","Expressed in all",NA,NA
"TPSAB1",150,"E2","IOH61933",828,"0",NA,"tryptase alpha/beta 1, mRNA (cDNA clone MGC:103905 IMAGE:30915294), complete cds","BC074975.2","AAH74975.1",7177,"Hs.405479","TPS1, TPS2, TPSB1","ENSG00000172236","Tryptase alpha/beta 1","16","1240696-1242554","Enzymes, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB016369, CAB022175, HPA049153, HPA049554","Supported",NA,NA,NA,"Head and neck cancer:9.62e-6 (favourable)","Mixed","Tissue enhanced",NA,"gallbladder: 211.6","lung: 158.5","Cell line enriched",163,"HMC-1: 3406.5"
"TPSAB1",141,"E4","IOH59056",828,"0",NA,"tryptase alpha/beta 1, mRNA (cDNA clone MGC:39869 IMAGE:5181815), complete cds","BC028059.1","AAH28059.1",7177,"Hs.405479","TPS1, TPS2, TPSB1","ENSG00000172236","Tryptase alpha/beta 1","16","1240696-1242554","Enzymes, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB016369, CAB022175, HPA049153, HPA049554","Supported",NA,NA,NA,"Head and neck cancer:9.62e-6 (favourable)","Mixed","Tissue enhanced",NA,"gallbladder: 211.6","lung: 158.5","Cell line enriched",163,"HMC-1: 3406.5"
"TPSAB1",132,"H6","IOH29733",828,"0",NA,"tryptase alpha/beta 1 (TPSAB1), mRNA.","NM_003294.3","NP_003285.2",7177,"Hs.405479","TPS1, TPS2, TPSB1","ENSG00000172236","Tryptase alpha/beta 1","16","1240696-1242554","Enzymes, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB016369, CAB022175, HPA049153, HPA049554","Supported",NA,NA,NA,"Head and neck cancer:9.62e-6 (favourable)","Mixed","Tissue enhanced",NA,"gallbladder: 211.6","lung: 158.5","Cell line enriched",163,"HMC-1: 3406.5"
"TPSB2",56,"B8","IOH23176",828,"0",NA,"tryptase beta 2, mRNA (cDNA clone MGC:32523 IMAGE:4695458), complete cds","BC029356.1","AAH29356.1",64499,"Hs.405479",NA,"ENSG00000197253","Tryptase beta 2 (gene/pseudogene)","16","1227272-1230184","Enzymes, Predicted secreted proteins","Evidence at protein level","HPA049153, HPA049554","Supported",NA,NA,NA,NA,"Mixed","Tissue enhanced",NA,"gallbladder: 156.9","lung: 117.5","Cell line enriched",7,"HMC-1: 262.0"
"TPSD1",141,"D9","IOH59766",729,"0",NA,"tryptase delta 1 (TPSD1), mRNA.","NM_012217.2","NP_036349.1",23430,"Hs.677789",NA,"ENSG00000095917","Tryptase delta 1","16","1256059-1258998","Enzymes, Predicted secreted proteins","Evidence at protein level","CAB002215, CAB032871, HPA040182, HPA049554","Supported",NA,"Uncertain","Nuclear speckles",NA,"Mixed","Tissue enhanced",NA,"lung: 26.9","gallbladder: 20.3","Group enriched",46,"HEL: 25.4;HMC-1: 36.4"
